kbdmj asreu zxcvq  ywth_ polni fg___; 896; 893; 1.003; 1.000; 4578.03307;
kmdbj asreu zxcvq  ywth_ polni fg___; 896; 893; 1.003; 1.000; 4578.53308;
jbdmk asreu zxcvq  ywth_ polni fg___; 896; 893; 1.003; 1.000; 4579.03308;
jbdmq asreu zxcvk  ywth_ polni fg___; 896; 893; 1.003; 1.000; 4579.03308;
qbdmj asreu zxcvk  ywth_ polni fg___; 896; 893; 1.003; 1.000; 4579.03308;
kbdmq asreu zxcvj  ywth_ polni fg___; 896; 893; 1.003; 1.000; 4579.03308;
jmdbk asreu zxcvq  ywth_ polni fg___; 896; 893; 1.003; 1.000; 4579.03308;
jmdbq asreu zxcvk  ywth_ polni fg___; 896; 893; 1.003; 1.000; 4579.03308;
qmdbj asreu zxcvk  ywth_ polni fg___; 896; 893; 1.003; 1.000; 4579.53309;
qbdmk asreu zxcvj  ywth_ polni fg___; 896; 893; 1.003; 1.000; 4580.03309;
kmdbq asreu zxcvj  ywth_ polni fg___; 896; 893; 1.003; 1.000; 4580.03309;
kmduq asreb zxcvj  ywth_ polni fg___; 896; 893; 1.003; 1.000; 4580.03309;
qmduj asreb zxcvk  ywth_ polni fg___; 896; 893; 1.003; 1.000; 4580.53309;
qmdbk asreu zxcvj  ywth_ polni fg___; 896; 893; 1.003; 1.000; 4581.03310;
jmduq asreb zxcvk  ywth_ polni fg___; 896; 893; 1.003; 1.000; 4581.03310;
qmduk asreb zxcvj  ywth_ polni fg___; 896; 893; 1.003; 1.000; 4581.03310;
kmdqj asreu zxcvb  ywth_ polni fg___; 896; 893; 1.003; 1.000; 4581.03310;
kbdmj asreu zxcvq  ywth_ folni pg___; 896; 893; 1.003; 1.000; 4581.53310;
kmduj asreb zxcvq  ywth_ polni fg___; 896; 893; 1.003; 1.000; 4581.53310;
jmdqk asreu zxcvb  ywth_ polni fg___; 896; 893; 1.003; 1.000; 4581.53310;
kmdjq asreu zxcvb  ywth_ polni fg___; 896; 893; 1.003; 1.000; 4581.53310;
kmdbj asreu zxcvq  ywth_ folni pg___; 896; 893; 1.003; 1.000; 4582.03310;
jbdmk asreu zxcvq  ywth_ folni pg___; 896; 893; 1.003; 1.000; 4582.53311;
jbdmq asreu zxcvk  ywth_ folni pg___; 896; 893; 1.003; 1.000; 4582.53311;
qbdmj asreu zxcvk  ywth_ folni pg___; 896; 893; 1.003; 1.000; 4582.53311;
kbdmq asreu zxcvj  ywth_ folni pg___; 896; 893; 1.003; 1.000; 4582.53311;
jmdbk asreu zxcvq  ywth_ folni pg___; 896; 893; 1.003; 1.000; 4582.53311;
jmdbq asreu zxcvk  ywth_ folni pg___; 896; 893; 1.003; 1.000; 4582.53311;
qmdjk asreu zxcvb  ywth_ polni fg___; 896; 893; 1.003; 1.000; 4582.53311;
jmdwq asreu zxcvb  ypth_ folni kg___; 910; 879; 1.035; 1.001; 4582.82847;